"ACS Alaska-Oregon Network (AKORN)","ACS Alaska-Oregon Network (AKORN)"
"AEC-1","AEConnect-1 (AEC-1)"
"ALBA-1","ALBA-1"
"ALPAL-2","ALPAL-2"
"APCN-2","Asia Pacific Cable Network 2 (APCN-2)"
"ARCOS","ARCOS"
"ARSAT Submarine Fiber Optic Cable","ARSAT Submarine Fiber Optic Cable"
"AU-Aleutian","AU-Aleutian"
"Aden-Djibouti","Aden-Djibouti"
"Adria-1","ADRIA-1"
"Africa-1","Africa-1"
"Alaska United East (AU-East)","Alaska United East (AU-East)"
"Alaska United Southeast (AU-SE)","Alaska United Southeast (AU-SE)"
"Alaska United Turnagain Arm (AUTA)","Alaska United Turnagain Arm (AUTA)"
"Alaska United West (AU-West)","Alaska United West (AU-West)"
"Alonso de Ojeda","Alonso de Ojeda"
"America Movil Submarine Cable System-1 (AMX-1)","America Movil Submarine Cable System-1 (AMX-1)"
"Americas-I North","Americas-I North"
"Americas-II","Americas-II"
"Amerigo Vespucci","Amerigo Vespucci"
"Antillas 1","ANTILLAS 1"
"Aqualink","Aqualink"
"Asia Africa Europe-1 (AAE-1)","Asia Africa Europe-1 (AAE-1)"
"Asia Direct Cable (ADC)","Asia Direct Cable (ADC)"
"Asia Pacific Gateway (APG)","Asia Pacific Gateway (APG)"
"Asia Submarine-cable Express (ASE)/Cahaya Malaysia","Asia Submarine-cable Express (ASE)/Cahaya Malaysia"
"Asia-America Gateway (AAG) Cable System","Asia-America Gateway (AAG) Cable System"
"Atisa","Atisa"
"Atlantic Crossing-1 (AC-1)","Atlantic Crossing 1 (AC-1)"
"Atlas Offshore","Atlas Offshore"
"Australia-Japan Cable (AJC)","Australia-Japan Cable (AJC)"
"Australia-Singapore Cable (ASC)","Australia-Singapore Cable (ASC)"
"Avassa","Avassa"
"Azores Fiber Optic System (AFOS)","Azores Fiber Optic System (AFOS)"
"BALOK","BALOK"
"BCS East","BCS East"
"BCS East-West Interlink","BCS East-West Interlink"
"BCS North - Phase 1","BCS North - Phase 1"
"BCS North - Phase 2","BCS North - Phase 2"
"BERYTAR","BERYTAR"
"BRUSA","BRUSA"
"BT North Sea","BT North Sea (ICENI & MERCATOR)"
"BT-MT-1","BT-MT-1"
"BUGIO","BUGIO"
"Bahamas 2","BAHAMAS-2"
"Bahamas Domestic Submarine Network (BDSNi)","Bahamas Domestic Submarine Network (BDSNi)"
"Bahamas Internet Cable System (BICS)","Bahamas Internet Cable System (BICS)"
"Balalink","BalaLink"
"Baltic Sea Submarine Cable","Baltic Sea Submarine Cable"
"Baltica","BALTICA"
"Bass Strait-1","Bass Strait-1"
"Bass Strait-2","Bass Strait-2"
"Basslink","Basslink"
"Batam Dumai Melaka (BDM) Cable System","Batam Dumai Melaka (BDM) Cable System"
"Batam Sarawak Internet Cable System (BaSICS)","Batam Sarawak Internet Cable System (BaSICS)"
"Batam Singapore Cable System (BSCS)","Batam Singapore Cable System (BSCS)"
"Batam-Rengit Cable System (BRCS)","Batam-Rengit Cable System (BRCS)"
"Bay of Bengal Gateway (BBG)","Bay of Bengal Gateway (BBG)"
"Bharat Lanka Cable System","Bharat Lanka Cable System"
"Bicentenario","Bicentenario"
"Biznet Nusantara Cable System-1 (BNCS-1)","Biznet Nusantara Cable System-1 (BNCS-1)"
"Blue","Blue"
"Bodo-Rost Cable","Bodo-Rost Cable"
"Botnia","Botnia"
"Brazilian Festoon","Brazilian Festoon"
"CADMOS","CADMOS"
"CANTAT-3","CANTAT-3"
"CAP-1","CAP-1 (f.k.a Bay to Bay Express (BtoBE))"
"COBRAcable","COBRAcable"
"COGIM","Câble Optique Gaspésie-Iles-de-la-Madeleine (COGIM)"
"Cabo Verde Telecom Domestic Submarine Cable Phase 1","Cabo Verde Telecom Domestic Submarine Cable Phase 1"
"Cabo Verde Telecom Domestic Submarine Cable Phase 2","Cabo Verde Telecom Domestic Submarine Cable Phase 2"
"Cabo Verde Telecom Domestic Submarine Cable Phase 3","Cabo Verde Telecom Domestic Submarine Cable Phase 3"
"Canalink","CanaLink"
"Caribbean Express (CX)","Caribbean Express (CX)"
"Caribbean Regional Communications Infrastructure Program (CARCIP)","Caribbean Regional Communications Infrastructure Program (CARCIP)"
"Caribbean-Bermuda U.S. (CBUS)","Caribbean-Bermuda U.S. (CBUS)"
"Cayman-Jamaica Fiber System (CJFS)","Cayman-Jamaica Fiber System (CJFS)"
"Ceiba-1","Ceiba-1"
"Ceiba-2","Ceiba-2"
"CeltixConnect-1 (CC-1)","CeltixConnect-1 (CC-1)"
"Challenger Bermuda-1 (CB-1)","Challenger Bermuda-1 (CB-1)"
"Channel Islands-9 Liberty Submarine Cable","Channel Islands-9 Liberty Submarine Cable"
"Chennai-Andaman & Nicobar Islands Cable","Chennai-Andaman & Nicobar Islands Cable (CANI)"
"Chuuk-Pohnpei Cable","Chuuk-Pohnpei Cable"
"Circe North","CIRCE North"
"Circe South","CIRCE South"
"Colombia-Florida Subsea Fiber (CFX-1)","Colombia-Florida Subsea Fiber (CFX-1)"
"Colombian Festoon","Colombian Festoon"
"Columbus-II b","COLUMBUS II"
"Columbus-III Azores-Portugal","COLUMBUS III"
"Comoros Domestic Cable System","Comoros Domestic Cable System"
"Concerto","Concerto"
"Converge Domestic Submarine Cable Network (CDSCN)","Converge Domestic Submarine Cable Network (CDSCN)"
"Cook Strait","Cook Strait"
"Coral Sea Cable System (CS²)","Coral Sea Cable System (CS2)"
"Corse-Continent 4 (CC4)","Corse-Continent 4 (CC4)"
"Corse-Continent 5 (CC5)","Corse-Continent 5 (CC5)"
"Crosslake Fibre","Crosslake Fibre"
"Curie","Curie"
"DANICE","Danice"
"Danica North","Danica North"
"Darwin-Jakarta-Singapore Cable (DJSC)","Darwin-Jakarta-Singapore Cable (DJSC)"
"Deep Blue One","Deep Blue One"
"Denmark-Poland 2","Denmark-Poland 2"
"Denmark-Sweden 15","Denmark-Sweden 15"
"Denmark-Sweden 16","Denmark-Sweden 16"
"Denmark-Sweden 17","Denmark-Sweden 17"
"Denmark-Sweden 18","Denmark-Sweden 18"
"Dhiraagu Cable Network","Dhiraagu Cable Network"
"Dhiraagu-SLT Submarine Cable Network","Dhiraagu-SLT Submarine Cable Network"
"Didon","Didon"
"Djibouti Africa Regional Express 1 (DARE1)","Djibouti Africa Regional Express 1 (DARE1)"
"Dumai-Melaka Cable System","Dumai-Melaka Cable System"
"Dunant","Dunant"
"EAC-C2C","EAC-C2C"
"ECLink","ECLink"
"ESAT-2","ESAT 2"
"EXA Express","EXA Express (fka GTT Express)"
"EXA North and South","EXA North & South (fka GTT Atlantic)"
"Eastern Arctic Undersea Fibre Optic Network (EAUFON)","Eastern Arctic Undersea Fibre Optic Network (EAUFON)"
"Eastern Caribbean Fiber System (ECFS)","Eastern Caribbean Fiber System (ECFS)"
"Elektra-GlobalConnect 1 (GC1)","Elektra-GlobalConnect 1 (GC1)"
"Emerald Bridge Fibres","Emerald Bridge Fibres"
"Energinet Laeso-Varberg","Energinet Laeso-Varberg"
"Energinet Lyngsa-Laeso","Energinet Lyngsa-Laeso"
"Epic Malta-Sicily Cable System (EMSCS)","Epic Malta-Sicily Cable System (EMSCS)"
"Equiano","Equiano"
"Estepona-Tetouan","Estepona-Tetouan"
"Europe India Gateway (EIG)","Europe India Gateway (EIG)"
"FALCON","FALCON/WARF"
"FARICE-1","Farice-1"
"FASTER","FASTER"
"FLAG Atlantic-1 (FA-1)","FLAG Atlantic 1 (FA-1)"
"FLAG Europe-Asia (FEA)","FLAG Europe Asia (FEA)"
"FLAG North Asia Loop/REACH North Asia Loop","FLAG North Asia Loop (FNAL)/REACH North Asia Loop (RNAL)"
"FLY-LION3","FLY-LION3"
"FOS Quellon-Chacabuco","FOS Quellon-Chacabuco"
"Far East Submarine Cable System","Far East Submarine Cable System"
"Farland North","Farland North (UK - NETHERLANDS 13)"
"Fehmarn Bält","Fehmarn Bält"
"Fiber Optic Gulf (FOG)","Fiber Optic Gulf (FOG)"
"Fibra Optica Austral","Fibra Optica Austral (FOA)"
"Fibralink","Fibralink"
"Finland Estonia Connection (FEC)","Finland Estonia Connection (FEC)"
"Finland-Estonia 2 (EESF-2)","Finland-Estonia 2 (EESF-2)"
"Finland-Estonia 3 (EESF-3)","Finland-Estonia 3 (EESF-3)"
"Flores-Corvo Cable System","Flores-Corvo Cable System"
"GO-1 Mediterranean Cable System","GO-1 Mediterranean Cable System"
"GTMO-1","GTMO-1"
"GTMO-PR","GTMO-PR"
"Gemini Bermuda","Gemini Bermuda"
"Geo-Eirgrid","Geo-Eirgrid"
"Georgia-Russia","Georgia-Russia"
"Germany-Denmark 3","Germany-Denmark 3"
"Glo-1","GLO-1 (Globacom-1)"
"Global Caribbean Network (GCN)","Global Caribbean Network (GCN)"
"GlobalConnect 2 (GC2)","GlobalConnect 2 (GC2)"
"GlobalConnect 3 (GC3)","GlobalConnect 3 (GC3)"
"GlobalConnect-KPN","GlobalConnect-KPN"
"GlobeNet","GlobeNet"
"Gondwana-1","Gondwana-1"
"Gondwana-2/Picot-2","Gondwana-2/Picot-2"
"Grace Hopper","Grace Hopper"
"Greenland Connect","Greenland Connect"
"Greenland Connect North","Greenland Connect North"
"Guadeloupe Cable des Iles du Sud (GCIS)","Guadeloupe Cable des Iles du Sud (GCIS)"
"Guam Okinawa Kyushu Incheon (GOKI)","Guam Okinawa Kyushu Incheon (GOKI)"
"Guernsey-Jersey-4","Guernsey-Jersey-4"
"Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System","Gulf Bridge International (GBI) Cable System/Middle East North Africa Cable System (MENA)"
"Gulf of California Cable","Gulf of California Cable"
"Gulf of Mexico Fiber Optic Network","Gulf of Mexico Fiber Optic Network"
"Gulf2Africa (G2A)","Gulf2Africa (G2A)"
"HANTRU1 Cable System","HANTRU1 Cable System"
"HICS (Hawaii Inter-Island Cable System)","Hawaii Inter-Island Cable System (HICS)"
"HIFN (Hawaii Island Fibre Network)","Hawaii Island Fibre Network (HIFN)"
"Hainan to Hong Kong Express (H2HE)","Hainan to Hong Kong Express (H2HE)"
"Havfrue/AEC-2","Havfrue/AEConnect-2(AEC-2)"
"Havhingsten/CeltixConnect-2 (CC-2)","Havhingsten/CeltixConnect-2 (CC-2)"
"Havhingsten/North Sea Connect (NSC)","Havhingsten/North Sea Connect (NSC)"
"Havsil","Havsil"
"Hawaiki","Hawaiki"
"Hawaiki Nui","Hawaiki Nui"
"Hawk","HAWK"
"High-capacity Undersea Guernsey Optical-fibre (HUGO)","High-capacity Undersea Guernsey Optical-fibre (HUGO)"
"Hokkaido-Akita Cable","Hokkaido-Akita Cable"
"Hokkaido-Sakhalin Cable System (HSCS)","Hokkaido-Sakhalin Cable System (HSCS)"
"Honotua","HONOTUA"
"Hronn","Hronn"
"IMEWE","India-Middle East-Western Europe(I-ME-WE/IMEWE)"
"INGRID","INGRID"
"IP-Only Denmark-Sweden","IP-Only Denmark-Sweden"
"India Asia Xpress (IAX)","India Asia Xpress (IAX)"
"India Europe Xpress (IEX)","India Europe Xpress (IEX)"
"Indonesia Global Gateway (IGG) System","Indonesia Global Gateway (IGG) System"
"Interchange Cable Network 1 (ICN1)","Interchange Cable Network 1 (ICN1)"
"Isles of Scilly Cable","Isles of Scilly Cable"
"Italy-Albania","Italy-Albania"
"Italy-Croatia","Italy-Croatia"
"Italy-Greece 1","Italy-Greece 1 (IG-1)"
"Italy-Libya","Italy-Libya"
"Italy-Monaco","Italy-Monaco"
"Ixchel","Ixchel"
"JAKABARE","JAKABARE"
"JSCFS","JSCFS"
"JUPITER","Jupiter"
"JaKa2LaDeMa","JaKa2LaDeMa"
"Jakarta Surabaya Cable System (JAYABAYA)","Jakarta Surabaya Cable System (JAYABAYA)"
"Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)","Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)"
"Jambi-Batam Cable System (JIBA)","Jambi-Batam Cable System (JIBA)"
"Japan Information Highway (JIH)","Japan Information Highway (JIH)"
"Japan-Guam-Australia North (JGA-N)","Japan-Guam-Australia North (JGA-N)"
"Japan-Guam-Australia South (JGA-S)","Japan-Guam-Australia South (JGA-S)"
"Japan-U.S. Cable Network (JUS)","Japan-U.S. Cable Network (JUS)"
"Java Bali Cable System (JBCS)","Java Bali Cable System (JBCS)"
"Java-Kalimantan-Sulawesi (JAKASUSI)","Java-Kalimantan-Sulawesi (JAKASUSI)"
"Jerry Newton","Jerry Newton"
"Jonah","JONAH"
"Junior","Junior"
"KAFOS","KAFOS"
"Kaliningrad Cable","Kaliningrad Cable"
"Kanawa","Kanawa"
"Kattegat 2","Kattegat 2"
"Kerch Strait Cable","Kerch Strait Cable"
"KetchCan1 Submarine Fiber Cable System","KetchCan1 Submarine Fiber Cable System"
"Kodiak Kenai Fiber Link (KKFL)","Kodiak Kenai Fiber Link (KKFL)"
"Korea-Japan Cable Network (KJCN)","Korea-Japan Cable Network (KJCN)"
"Kumul Domestic Submarine Cable System","Kumul Domestic Submarine Cable System"
"Kupang-Alor Cable Systems","Kupang-Alor Cable Systems"
"Kuwait-Iran","Kuwait-Iran"
"LFON (Libyan Fiber Optic Network)","Libyan Fiber Optic Network (LFON)"
"Labuan-Brunei Submarine Cable","Labuan-Brunei Submarine Cable"
"Lanis-1","LANIS 1"
"Lanis-2","LANIS 2"
"Latvia-Sweden 1 (LV-SE 1)","Latvia-Sweden 1 (LV-SE 1)"
"Lazaro Cardenas-Manzanillo Santiago Submarine Cable System (LCMSSCS)","Lazaro Cardenas-Manzanillo Santiago Submarine Cable System (LCMSSCS)"
"Leif Erikson","Leif Erikson"
"Libreville-Port Gentil Cable","Libreville-Port Gentil Cable"
"Lower Indian Ocean Network (LION)","Lower Indian Ocean Network (LION)"
"Lower Indian Ocean Network 2 (LION2)","Lower Indian Ocean Network 2 (LION2)"
"Luwuk Tutuyan Cable System (LTCS)","Luwuk Tutuyan Cable System (LTCS)"
"Lynn Canal Fiber","Lynn Canal Fiber"
"MIST","Myanmar/Malaysia India Singapore Transit (MIST)"
"MainOne","MainOne"
"Malaysia-Cambodia-Thailand (MCT) Cable","Malaysia-Cambodia-Thailand (MCT) Cable"
"Malbec","MALBEC"
"Maldives Sri Lanka Cable (MSC)","Maldives Sri Lanka Cable (MSC)"
"Malta-Gozo Cable","Malta-Gozo Cable"
"Malta-Italy Interconnector","Malta-Italy Interconnector"
"Mandji Fiber Optic Cable","Mandji Fiber Optic Cable"
"Mariana-Guam Cable","MTC Interisland Cable System (MICS)/Mariana-Guam Cable"
"Mataram Kupang Cable System (MKCS)","Mataram Kupang Cable System (MKCS)"
"Matrix Cable System","Matrix Cable System"
"Mauritius and Rodrigues Submarine Cable System (MARS)","Mauritius and Rodrigues Submarine Cable System (MARS)"
"Maya-1","MAYA-1"
"Med Cable Network","Med Cable Network"
"MedNautilus Submarine System","MedNautilus Submarine System"
"Medusa Submarine Cable System","Medusa Submarine Cable System"
"Melita 1","Melita-1"
"Meltingpot Indianoceanic Submarine System (METISS)","Meltingpot Indianoceanic Submarine System (METISS)"
"Mid-Atlantic Crossing (MAC)","Mid-Atlantic Crossing (MAC)"
